"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"17O248177C","15",".596",".821"
"17O248177C","25",".53",".738"
"17O248177C","","",""
"17O248177C","","",""
"17O248177C","","",""
"17O248177D","5",".453",".626"
"17O248177D","15",".421",".588"
"17O248177D","25",".396",".559"
"17O248177D","","",""
"17O248177D","","",""
"17O248177D","","",""
"17O248177F","5",".63",".862"
"17O248177F","15",".558",".772"
"17O248177F","25",".498",".696"
"17O248177F","","",""
"17O248177F","","",""
"17O248177F","","",""
"17OF184123A","15","2.981","3.717"
"17OF184123A","25","2.386","3.001"
"17OF184123A","35","1.958","2.483"
"17OF184123A","","",""
"17OF184123A","","",""
"17OF184123A","","",""
"17OF184532C","15","1.324","1.728"
"17OF184532C","25","1.118","1.472"
"17OF184532C","35",".926","1.231"
"17OF184532C","","",""
"17OF184532C","","",""
"17OF184532C","","",""
"17OF184532D","15","1.665","2.147"
"17OF184532D","25","1.379","1.796"
"17OF184532D","35","1.137","1.494"
"17OF184532D","","",""
"17OF184532D","","",""
"17OF184532D","","",""
"17OF185231B","15",".653",".884"
"17OF185231B","25",".597",".816"
"17OF185231B","35",".546",".754"
"17OF185231B","","",""
"17OF185231B","","",""
"17OF185231B","","",""
"17OF186121B","5","1.49","1.928"
"17OF186121B","15","1.226","1.601"
"17OF186121B","25","1.063","1.401"
"17OF186121B","","",""
"17OF186121B","","",""
"17OF186121B","","",""
"17OF187637C","5","3.11","3.891"
"17OF187637C","15","2.28","2.875"
"17OF187637C","25","1.8","2.288"
"17OF195165A","","",""
"17OF195165A","","",""
"17OF195165A","","",""
"17OF195165A","","",""
"17OF195165A","","",""
"17OF195165A","","",""
"17OF195165B","","",""
"17OF195165B","","",""
"17OF195165B","","",""
"17OF195165B","","",""
"17OF195165B","","",""
"17OF195165B","","",""
"17OF215032B","5",".702",".959"
"17OF215032B","15",".618",".854"
"17OF215032B","25",".552",".77"
"17OF215032B","","",""
"17OF215032B","","",""
"17OF215032B","","",""
"17OF215396B","5",".763","1.038"
"17OF215396B","15",".665",".914"
"17OF215396B","25",".584",".811"
"17OF215396B","","",""
"17OF215396B","","",""
"17OF215396B","","",""
"17OF217374A","5","1.96","2.491"
"17OF217374A","15","1.52","1.94"
"17OF217374A","25","1.28","1.654"
"17OF217657C","5",".516",".712"
"17OF217657C","15",".474",".661"
"17OF217657C","25",".431",".608"
"17OF217657C","","",""
"17OF217657C","","",""
"17OF217657C","","",""
"17OF217657D","5",".522",".719"
"17OF217657D","15",".477",".664"
"17OF217657D","25",".447",".629"
"17OF217657D","","",""
"17OF217657D","","",""
"17OF217657D","","",""
"17OF218380B","5",".732",".996"
"17OF218380B","15",".644",".885"
"17OF218380B","25",".57",".792"
"17OF218380B","","",""
"17OF218380B","","",""
"17OF218380B","","",""
"17OF219678B","15",".602",".835"
"17OF219678B","25",".537",".753"
"17OF219678B","35",".479",".679"
"17OF219678B","","",""
"17OF219678B","","",""
"17OF219678B","","",""
"17OF227876A","15","4.25","5.17"
"17OF227876A","25","3.27","4.007"
"17OF227876A","38","2.44","3.022"
"17OF242676B","15","2.14","2.734"
"17OF242676B","25","1.727","2.226"
"17OF242676B","38","1.338","1.746"
"17OF242676B","","",""
"17OF242676B","","",""
"17OF242676B","","",""
"17OF246407D","15","1.296","1.685"
"17OF246407D","25","1.103","1.447"
"17OF246407D","35",".939","1.244"
"17OF246407D","","",""
"17OF246407D","","",""
"17OF246407D","","",""
"17OF248200B","15","3.08","3.855"
"17OF248200B","25","2.395","3.024"
"17OF248200B","38","1.819","2.323"
"17OF248200B","","",""
"17OF248200B","","",""
"17OF248200B","","",""
"17OF248340G","15","2.039","2.592"
"17OF248340G","25","1.638","2.101"
"17OF248340G","35","1.379","1.784"
"17OF248340G","","",""
"17OF248340G","","",""
"17OF248340G","","",""
"17OF248340H","15","1.477","1.904"
"17OF248340H","25","1.248","1.623"
"17OF248340H","35","1.054","1.384"
"17OF248340H","","",""
"17OF248340H","","",""
"17OF248340H","","",""
"17OF248340I","5","2.943","3.696"
"17OF248340I","15","2.23","2.825"
"17OF248340I","25","1.803","2.304"
"17OF248340I","","",""
"17OF248340I","","",""
"17OF248340I","","",""
"17OF248340K","15","2.271","2.871"
"17OF248340K","25","1.82","2.321"
"17OF248340K","35","1.521","1.957"
"17OF248340K","","",""
"17OF248340K","","",""
"17OF248340K","","",""
"17OF248340L","15","2.177","2.753"
"17OF248340L","25","1.795","2.291"
"17OF248340L","38","1.398","1.805"
"17OF248340L","","",""
"17OF248340L","","",""
"17OF248340L","","",""
"17OF249828E","15","2.148","2.726"
"17OF249828E","25","1.706","2.183"
"17OF249828E","38","1.347","1.745"
"17OF249828E","","",""
"17OF249828E","","",""
"17OF249828E","","",""
"17OF249828F","15","2.554","3.237"
"17OF249828F","25","1.854","2.372"
"17OF249828F","35","1.454","1.877"
"17OF249828F","","",""
"17OF249828F","","",""
"17OF249828F","","",""
"17OF249828G","15","2.338","2.961"
"17OF249828G","25","1.778","2.272"
"17OF249828G","38","1.378","1.782"
"17OF249828G","","",""
"17OF249828G","","",""
"17OF249828G","","",""
"17OF249828H","15","4.591","5.763"
"17OF249828H","25","2.888","3.657"
"17OF249828H","38","1.839","2.355"
"17OF249828H","","",""
"17OF249828H","","",""
"17OF249828H","","",""
"17OF259882A","5",".582",".787"
"17OF259882A","15",".526",".719"
"17OF259882A","25",".489",".675"
"17OF259882A","","",""
"17OF259882A","","",""
"17OF259882A","","",""
"17OF268709D","5",".6",".814"
"17OF268709D","15",".54",".74"
"17OF268709D","25",".499",".691"
"17OF268709D","","",""
"17OF268709D","","",""
"17OF268709D","","",""
"17OF268709F","5",".915","1.211"
"17OF268709F","15",".791","1.057"
"17OF268709F","25",".678",".915"
"17OF268709F","","",""
"17OF268709F","","",""
"17OF268709F","","",""
"17OF269509E","5",".584",".79"
"17OF269509E","15",".523",".715"
"17OF269509E","25",".491",".679"
"17OF269509E","","",""
"17OF269509E","","",""
"17OF269509E","","",""
"17OF271498D","5",".765","1.03"
"17OF271498D","15",".684",".93"
"17OF271498D","25",".591",".812"
"17OF271498D","","",""
"17OF271498D","","",""
"17OF271498D","","",""
"17OF271498E","5",".538",".734"
"17OF271498E","10",".513",".704"
"17OF271498E","15",".49",".676"
"17OF271498E","","",""
"17OF271498E","","",""
"17OF271498E","","",""
"17OF271498F","5",".691",".938"
"17OF271498F","15",".608",".833"
"17OF271498F","25",".541",".75"
"17OF271498F","","",""
"17OF271498F","","",""
"17OF271498F","","",""
"17OF276614C","5",".73",".985"
"17OF276614C","15",".641",".874"
"17OF276614C","25",".558",".769"
"17OF276614C","","",""
"17OF276614C","","",""
"17OF276614C","","",""
"17OF276614D","5",".637",".879"
"17OF276614D","15",".562",".783"
"17OF276614D","25",".495",".698"
"17OF276614D","","",""
"17OF276614D","","",""
"17OF276614D","","",""
"17OF280340A","15","2.522","3.163"
"17OF280340A","25","2.046","2.589"
"17OF280340A","38","1.604","2.053"
"17OF280340A","","",""
"17OF280340A","","",""
"17OF280340A","","",""
"17OF280340C","15","3.241","4.033"
"17OF280340C","25","2.502","3.14"
"17OF280340C","38","1.909","2.423"
"17OF280340C","","",""
"17OF280340C","","",""
"17OF280340C","","",""
"17OF280548C","5",".574",".789"
"17OF280548C","15",".52",".723"
"17OF280548C","25",".482",".678"
"17OF280548C","","",""
"17OF280548C","","",""
"17OF280548C","","",""
"17OF284178A","15","3.19","3.985"
"17OF284178A","25","2.496","3.145"
"17OF284178A","38","1.861","2.372"
"17OF284178A","","",""
"17OF284178A","","",""
"17OF284178A","","",""
"17OF287166F","15","2.46","3.093"
"17OF287166F","25","1.982","2.513"
"17OF287166F","38","1.533","1.967"
"17OF287166F","","",""
"17OF287166F","","",""
"17OF287166F","","",""
"17OF287166G","15","2.175","2.761"
"17OF287166G","25","1.789","2.292"
"17OF287166G","35","1.497","1.936"
"17OF287166G","","",""
"17OF287166G","","",""
"17OF287166G","","",""
"17OF287166H","5","3.107","3.886"
"17OF287166H","15","2.451","3.092"
"17OF287166H","25","1.987","2.529"
"17OF287166H","","",""
"17OF287166H","","",""
"17OF287166H","","",""
"17OF289880B","5",".541",".743"
"17OF289880B","15",".492",".683"
"17OF289880B","25",".453",".635"
"17OF289880B","","",""
"17OF289880B","","",""
"17OF289880B","","",""
"17OF293432F","5",".635",".878"
"17OF293432F","15",".563",".787"
"17OF293432F","25",".499",".706"
"17OF293432F","","",""
"17OF293432F","","",""
"17OF293432F","","",""
"17OF293432G","5",".516",".713"
"17OF293432G","15",".472",".659"
"17OF293432G","25",".431",".609"
"17OF293432G","","",""
"17OF293432G","","",""
"17OF293432G","","",""
"17OF293432H","5",".654",".904"
"17OF293432H","15",".578",".807"
"17OF293432H","25",".511",".721"
"17OF293432H","","",""
"17OF293432H","","",""
"17OF293432H","","",""
"17OF293432I","5",".502",".695"
"17OF293432I","15",".476",".667"
"17OF293432I","25",".452",".64"
"17OF293432I","","",""
"17OF293432I","","",""
"17OF293432I","","",""
"17OF293432J","5",".629",".872"
"17OF293432J","15",".556",".779"
"17OF293432J","25",".496",".704"
"17OF293432J","","",""
"17OF293432J","","",""
"17OF293432J","","",""
"17OF293474C","5",".518",".715"
"17OF293474C","15",".474",".661"
"17OF293474C","25",".443",".625"
"17OF293474C","","",""
"17OF293474C","","",""
"17OF293474C","","",""
"17OF293474D","5",".473",".655"
"17OF293474D","15",".435",".609"
"17OF293474D","25",".409",".58"
"17OF293474D","","",""
"17OF293474D","","",""
"17OF293474D","","",""
"17OG201862A","15","3.267","4.07"
"17OG201862A","25","2.46","3.091"
"17OG201862A","38","1.896","2.41"
"17OG201862A","","",""
"17OG201862A","","",""
"17OG201862A","","",""
"17OG201862B","15","3.145","3.916"
"17OG201862B","25","2.48","3.115"
"17OG201862B","38","1.862","2.365"
"17OG201862B","","",""
"17OG201862B","","",""
"17OG201862B","","",""
"17OG218307A","5",".718",".973"
"17OG218307A","15",".634",".869"
"17OG218307A","25",".56",".775"
"17OG218307A","","",""
"17OG218307A","","",""
"17OG218307A","","",""
"17OG218307B","5",".666",".907"
"17OG218307B","15",".588",".81"
"17OG218307B","25",".514",".714"
"17OG218307B","","",""
"17OG218307B","","",""
"17OG218307B","","",""
"17OG218307C","5",".526",".72"
"17OG218307C","15",".48",".665"
"17OG218307C","25",".45",".63"
"17OG218307C","","",""
"17OG218307C","","",""
"17OG218307C","","",""
"17OG218307D","5",".659",".899"
"17OG218307D","15",".583",".804"
"17OG218307D","25",".519",".723"
"17OG218307D","","",""
"17OG218307D","","",""
"17OG218307D","","",""
"17OG218586A","15","2.425","3.05"
"17OG218586A","25","1.98","2.511"
"17OG218586A","38","1.605","2.06"
"17OG218586A","","",""
"17OG218586A","","",""
"17OG218586A","","",""
"17OG218586B","15","2.735","3.427"
"17OG218586B","25","2.165","2.736"
"17OG218586B","38","1.634","2.089"
"17OG218586B","","",""
"17OG218586B","","",""
"17OG218586B","","",""
"17OG218586C","15","2.548","3.203"
"17OG218586C","25","2.038","2.585"
"17OG218586C","38","1.655","2.123"
"17OG218586C","","",""
"17OG218586C","","",""
"17OG218586C","","",""
"17OG254786A","5",".533",".728"
"17OG254786A","15",".486",".671"
"17OG254786A","25",".454",".634"
"17OG254786A","","",""
"17OG254786A","","",""
"17OG254786A","","",""
"17OG254786B","5",".664",".906"
"17OG254786B","15",".586",".808"
"17OG254786B","25",".514",".716"
"17OG254786B","","",""
"17OG254786B","","",""
"17OG254786B","","",""
"17OG254786C","5",".545",".742"
"17OG254786C","15",".495",".682"
"17OG254786C","25",".462",".643"
"17OG254786C","","",""
"17OG254786C","","",""
"17OG254786C","","",""
"17OG254786D","5",".72",".974"
"17OG254786D","15",".63",".86"
"17OG254786D","25",".547",".755"
"17OG254786D","","",""
"17OG254786D","","",""
"17OG254786D","","",""
"17OG260015A","5",".755","1.017"
"17OG260015A","15",".657",".894"
"17OG260015A","25",".572",".786"
"17OG260015A","","",""
"17OG260015A","","",""
"17OG260015A","","",""
"17OG260015B","5",".718",".973"
"17OG260015B","15",".633",".866"
"17OG260015B","25",".563",".779"
"17OG260015B","","",""
"17OG260015B","","",""
"17OG260015B","","",""
"17OG261800A","5","2.046","2.62"
"17OG261800A","15","1.548","2.001"
"17OG261800A","25","1.291","1.685"
"17OG261800A","","",""
"17OG261800A","","",""
"17OG261800A","","",""
"17OG261800B","5","1.473","1.912"
"17OG261800B","15","1.187","1.555"
"17OG261800B","25","1.031","1.363"
"17OG261800B","","",""
"17OG261800B","","",""
"17OG261800B","","",""
"17OG267175A","5",".549",".747"
"17OG267175A","15",".5",".688"
"17OG267175A","25",".466",".648"
"17OG267175A","","",""
"17OG267175A","","",""
"17OG267175A","","",""
"17OG267175B","5",".697",".945"
"17OG267175B","15",".614",".841"
"17OG267175B","25",".547",".757"
"17OG267175B","","",""
"17OG267175B","","",""
"17OG267175B","","",""
"17OG267175C","5",".616",".845"
"17OG267175C","15",".547",".758"
"17OG267175C","25",".489",".686"
"17OG267175C","","",""
"17OG267175C","","",""
"17OG267175C","","",""
"17OG267175D","5",".481",".661"
"17OG267175D","15",".444",".616"
"17OG267175D","25",".418",".586"
"17OG267175D","","",""
"17OG267175D","","",""
"17OG267175D","","",""
"17ON176115A","5","4.14","5.04"
"17ON176115A","15","2.852","3.5"
"17ON176115A","25","2.282","2.824"
"17ON176115A","","",""
"17ON176115A","","",""
"17ON176115A","","",""
"17R179481","15","9.038","10.591"
"17R179481","25","6.522","7.7"
"17R179481","38","4.492","5.357"
"17R179481","","",""
"17R179481","","",""
"17R179481","","",""
"1875-52134-17-3","20","2.123","2.712"
"1875-52134-17-3","30","1.672","2.157"
"1875-52134-17-3","40","1.367","1.783"
"1875-52134-17-3","","",""
"1875-52134-17-3","","",""
"1875-52134-17-3","","",""
"18F299701","15","3.278","4.034"
"18F299701","25","2.654","3.293"
"18F299701","38","1.993","2.501"
"18F299701","","",""
"18F299701","","",""
"18F299701","","",""
"18F308032","15","1.917","2.413"
"18F308032","25","1.59","2.02"
"18F308032","38","1.281","1.646"
"18F308032","","",""
"18F308032","","",""
"18F308032","","",""
"18F308442","5",".622",".844"
"18F308442","15",".56",".768"
"18F308442","25",".518",".719"
"18F308442","","",""
"18F308442","","",""
"18F308442","","",""
"18F309386","5",".779","1.049"
"18F309386","15",".681",".927"
"18F309386","25",".602",".828"
"18F309386","","",""
"18F309386","","",""
"18F309386","","",""
"18F333484","8","3.726","4.751"
"18F333484","10","2.697","3.47"
"18F333484","20","1.856","2.41"
"18F333484","","",""
"18F333484","","",""
"18F333484","","",""
"18F335574","5","2.532","3.15"
"18F335574","15","2.089","2.621"
"18F335574","25","1.723","2.181"
"18F335574","","",""
"18F335574","","",""
"18F335574","","",""
"18F339968","15","1.606","2.049"
"18F339968","25","1.368","1.761"
"18F339968","35","1.165","1.513"
"18F339968","","",""
"18F339968","","",""
"18F339968","","",""
"18F348542","5","3.327","4.137"
"18F348542","15","2.148","2.694"
"18F348542","25","1.792","2.267"
"18F348542","","",""
"18F348542","","",""
"18F348542","","",""
"18F370974","15","5.693","6.819"
"18F370974","25","4.22","5.094"
"18F370974","38","3.111","3.794"
"18F370974","","",""
"18F370974","","",""
"18F370974","","",""
"18F378826","5","9.565","11.539"
"18F378826","15","4.656","5.663"
"18F378826","25","3.631","4.452"
"18F378826","","",""
"18F378826","","",""
"18F378826","","",""
"18F379465","15","4.404","5.337"
"18F379465","25","3.399","4.153"
"18F379465","38","2.537","3.133"
"18F379465","","",""
"18F379465","","",""
"18F379465","","",""
"18F385707","15","2.534","3.142"
"18F385707","25","2.04","2.551"
"18F385707","38","1.63","2.061"
"18F385707","","",""
"18F385707","","",""
"18F385707","","",""
"18F400948","5","1.06","1.405"
"18F400948","15",".889","1.19"
"18F400948","25",".775","1.048"
"18F400948","","",""
"18F400948","","",""
"18F400948","","",""
"18F413326","","",""
"18F413326","","",""
"18F413326","","",""
"18F413326","","",""
"18F413326","","",""
"18F413326","","",""
"18O385531B","5","4.101","5.139"
"18O385531B","15","2.238","2.829"
"18O385531B","25","1.827","2.33"
"18O385531B","","",""
"18O385531B","","",""
"18O385531B","","",""
"18OE364548A","5","4.063","5.051"
"18OE364548A","15","2.755","3.454"
"18OE364548A","25","2.157","2.728"
"18OE364548A","","",""
"18OE364548A","","",""
"18OE364548A","","",""
"18OE364548B","5","3.773","4.689"
"18OE364548B","15","2.658","3.332"
"18OE364548B","25","2.021","2.555"
"18OE364548B","","",""
"18OE364548B","","",""
"18OE364548B","","",""
"18OE364548C","5","10.75","13.199"
"18OE364548C","15","4.576","5.666"
"18OE364548C","25","2.645","3.302"
"18OE364548C","","",""
"18OE364548C","","",""
"18OE364548C","","",""
"18OE364548D","5","4.654","5.794"
"18OE364548D","15","2.49","3.127"
"18OE364548D","25","1.977","2.505"
"18OE364548D","","",""
"18OE364548D","","",""
"18OE364548D","","",""
"18OE364548E","5","3.714","4.607"
"18OE364548E","15","2.706","3.385"
"18OE364548E","25","2.094","2.642"
"18OE364548E","","",""
"18OE364548E","","",""
"18OE364548E","","",""
"18OE364548F","5","7.734","9.592"
"18OE364548F","15","3.726","4.661"
"18OE364548F","25","2.085","2.631"
"18OE364548F","","",""
"18OE364548F","","",""
"18OE364548F","","",""
"18OE364548G","5","2.363","2.988"
"18OE364548G","15","1.846","2.354"
"18OE364548G","25","1.548","1.992"
"18OE364548G","","",""
"18OE364548G","","",""
"18OE364548G","","",""
"18OE364548H","5","4.434","5.47"
"18OE364548H","15","3.058","3.804"
"18OE364548H","25","2.436","3.057"
"18OE364548H","","",""
"18OE364548H","","",""
"18OE364548H","","",""
"18OF303142A","5",".776","1.047"
"18OF303142A","15",".674",".919"
"18OF303142A","25",".594",".818"
"18OF303142A","","",""
"18OF303142A","","",""
"18OF303142A","","",""
"18OF303142B","5","1.65","2.126"
"18OF303142B","15","1.312","1.706"
"18OF303142B","25","1.131","1.485"
"18OF303142B","","",""
"18OF303142B","","",""
"18OF303142B","","",""
"18OF303142C","5","2.071","2.645"
"18OF303142C","15","1.567","2.019"
"18OF303142C","25","1.323","1.721"
"18OF303142C","","",""
"18OF303142C","","",""
"18OF303142C","","",""
"18OF303142E","5","2.31","2.937"
"18OF303142E","15","1.664","2.135"
"18OF303142E","25","1.393","1.804"
"18OF303142E","","",""
"18OF303142E","","",""
"18OF303142E","","",""
"18OF303142F","5","1.501","1.95"
"18OF303142F","15","1.235","1.619"
"18OF303142F","25","1.026","1.359"
"18OF303142F","","",""
"18OF303142F","","",""
"18OF303142F","","",""
"18OF303142G","5","1.318","1.714"
"18OF303142G","15","1.099","1.443"
"18OF303142G","25",".937","1.243"
"18OF303142G","","",""
"18OF303142G","","",""
"18OF303142G","","",""
"18OF303142H","5","1.696","2.188"
"18OF303142H","15","1.369","1.783"
"18OF303142H","25","1.149","1.511"
"18OF303142H","","",""
"18OF303142H","","",""
"18OF303142H","","",""
"18OF307104A","15","1.441","1.862"
"18OF307104A","25","1.24","1.617"
"18OF307104A","38","1.019","1.346"
"18OF307104A","","",""
"18OF307104A","","",""
"18OF307104A","","",""
"18OF307730A","5","1.713","2.206"
"18OF307730A","15","1.385","1.8"
"18OF307730A","25","1.183","1.552"
"18OF307730A","","",""
"18OF307730A","","",""
"18OF307730A","","",""
"18OF308032B","15","1.64","2.101"
"18OF308032B","25","1.37","1.776"
"18OF308032B","35","1.15","1.502"
"18OF323288B","15","1.297","1.693"
"18OF323288B","25","1.068","1.407"
"18OF323288B","38",".829","1.106"
"18OF323288B","","",""
"18OF323288B","","",""
"18OF323288B","","",""
"18OF327438A","5","4.614","5.733"
"18OF327438A","15","3.243","4.064"
"18OF327438A","25","2.376","3.004"
"18OF327438A","","",""
