"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0605-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0606-52137-2020-2","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
"0655-52134-2021-3","",""
